Cluster,Rank,COG,Description,log2_fold_enrichment,Prevalence_in_cluster,Prevalence_in_other_clusters,Mean_per_1000_genes_in_cluster,Mean_per_1000_genes_in_other_clusters
3,29,COG3172,AAA domain,3.5050585923433837,0.9169435215946884,0.10628488231011915,0.5585873936368745,0.04828788123535046
3,30,COG4744,Conserved protein,3.4990803666962327,0.23920265780730868,0.02717786944916287,0.14252987290568733,0.01169445769652614
3,31,COG3637,"Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety",3.469712789841749,0.9966777408637919,0.18442125697646247,4.320114281982498,0.38903908263638515
3,32,COG3630,sodium ion export across plasma membrane,3.4611907614946964,0.8471760797342228,0.0781363746663433,0.5005883916510192,0.044543377738876545
3,33,COG3137,COG NOG19097 non supervised orthologous group,3.444259577032321,0.5249169435215961,0.08226158699344838,0.37089320556084754,0.03316589472686427
3,34,COG3169,Putative member of DMT superfamily (DUF486),3.4344913688917247,0.8770764119601366,0.10337296772628027,0.5153681425760228,0.04676112178139877
3,35,COG2829,hydrolysis of phosphatidylcholine with phospholipase A2 (EC 3.1.1.4) and phospholipase A1 (EC 3.1.1.32) activities,3.43115718206109,0.43521594684385473,0.057995632128124364,0.23906630435883652,0.02125614669788177
3,36,COG3292,Histidine kinase,3.429438536031418,0.714285714285717,0.11089541373453071,0.857715284403935,0.07870495582347659
3,37,COG3295,Putative PepSY_TM-like,3.405960332375046,0.19269102990033202,0.02499393351128371,0.11498488772038082,0.009942213450087767
3,38,COG0339,Peptidase family M3,3.361471591746391,0.9734219269103034,0.1555447706867269,1.0586619018561942,0.10210115764836233
3,39,COG3746,phosphate-selective porin O and P,3.2822460067075303,0.8372093023255849,0.08226158699344838,0.7532388383671348,0.0765272520695905
3,40,COG4413,urea transporter,3.265624396647971,0.2059800664451825,0.030575103130308232,0.12853667747483022,0.012469201670990634
3,41,COG3591,Belongs to the peptidase S1B family,3.2594454832404613,0.5149501661129582,0.12545498665372512,0.7090293940749619,0.0731456144391932
3,42,COG3088,"Psort location CytoplasmicMembrane, score",3.25819029045483,0.9102990033222631,0.11890317884008764,0.5451083572000738,0.05607761446546809
3,43,COG4412,M6 family metalloprotease domain protein,3.254031044793365,0.6245847176079755,0.09002669255035206,0.8729786173659827,0.09060936147317562
3,44,COG4935,CotH kinase protein,3.242488363239427,0.3322259136212627,0.042222761465663755,0.2644415738196215,0.02704675919417161
3,45,COG4680,"HigB_toxin, RelE-like toxic component of a toxin-antitoxin system",3.227243978917118,0.1727574750830563,0.02936180538704203,0.10764708788625157,0.01060167911203222
3,46,COG1884,Methylmalonyl-CoA mutase,3.2108904127342637,0.817275747508309,0.10337296772628027,0.8999778142649585,0.09630603356372937
3,47,COG3047,COG NOG27406 non supervised orthologous group,3.182431237316729,0.4617940199335559,0.07619509827711737,0.2848867101078763,0.03049101837961746
3,48,COG5499,Helix-turn-helix XRE-family like proteins,3.1769076233489826,0.21594684385382035,0.039310846881824874,0.1456689632625551,0.01521786698349073
3,49,COG2830,Protein of unknown function (DUF452),3.1767147930483834,0.3488372093023259,0.0521718029604466,0.20858355993816094,0.022177723228620307
3,50,COG1596,Polysaccharide biosynthesis/export protein,3.161608169720913,0.9401993355481769,0.13637466634312093,0.9545308065065592,0.10578390527794694
4,1,COG4814,Alpha/beta hydrolase of unknown function (DUF915),8.777188026278987,0.4301369863013687,0.0004929751047572097,0.6063376362815217,0.00038430988911653164
4,2,COG4473,ABC transporter,8.25911437601354,0.6849315068493129,0.00024648755237860487,0.3500766113583996,0.0001459369759494404
4,3,COG5503,Belongs to the UPF0356 family,8.253763050040671,0.60821917808219,0.0,0.3042321355085042,0.0
4,4,COG4476,Belongs to the UPF0223 family,8.226010949228092,0.6273972602739707,0.0,0.29841671438984657,0.0
4,5,COG5506,Protein of unknown function (DUF1694),8.179142496050186,0.553424657534245,0.0,0.2888459458237897,0.0
4,6,COG5353,Protein conserved in bacteria,8.082339328659343,0.5917808219178065,0.0,0.2700357464739922,0.0
4,7,COG4483,Bacterial protein of unknown function (DUF910),8.044808771386503,0.5561643835616422,0.0,0.2630758884346274,0.0
4,8,COG4471,Uncharacterized protein conserved in bacteria (DUF2129),8.02141538162837,0.6767123287671212,0.0004929751047572097,0.3136058979841861,0.0002108217751901753
4,9,COG4479,Belongs to the UPF0346 family,7.99865327650031,0.564383561643834,0.00024648755237860487,0.27835468079452014,9.224833547103476e-05
4,10,COG4858,Protein of unknown function (DUF1129),7.796039802271394,0.6109589041095872,0.0022183879714074432,0.40583375592984544,0.0008305228408555615
4,11,COG4703,Protein of unknown function (DUF1797),7.749560027556053,0.4246575342465742,0.0,0.21420384251485702,0.0
4,12,COG4841,Belongs to the HesB IscA family,7.392325838275491,0.3917808219178072,0.0,0.16700097997673397,0.0
4,13,COG4835,Protein of unknown function (DUF1149),7.381305395041215,0.301369863013698,0.0,0.1657225449768384,0.0
4,14,COG4955,Helix-turn-helix domain,7.3496581543095685,0.3753424657534237,0.0,0.16210510806407394,0.0
4,15,COG4940,Putative Competence protein ComGF,7.329600340310802,0.43835616438356045,0.0007394626571358146,0.25960481298936183,0.000620141227444778
4,16,COG4699,Protein of unknown function (DUF1033),7.2456660080573005,0.28219178082191726,0.0,0.15076191812758213,0.0
4,17,COG4633,Cupredoxin-like domain,7.231401476434241,0.28219178082191726,0.0012324377618930242,0.19715915102797965,0.00031869809207662136
4,18,COG4918,Belongs to the HesB IscA family,7.212089827468601,0.2630136986301365,0.0,0.14727071078213472,0.0
4,19,COG4698,Uncharacterized protein conserved in bacteria (DUF2140),7.103383396667255,0.4027397260273962,0.0004929751047572097,0.18204914773588723,0.00033117832654385723
4,20,COG4838,Belongs to the UPF0358 family,6.989801996419447,0.3506849315068485,0.0,0.1260983945204356,0.0
4,21,COG5584,Small secreted protein,6.977353982365344,0.3178082191780815,0.0,0.12500646821143174,0.0
4,22,COG4072,Protein of unknown function C-terminal (DUF3324),6.965007941687488,0.16712328767123277,0.001478925314271629,0.30647731466300165,0.0014611425509192695
4,23,COG5582,UPF0302 domain,6.488770732202371,0.246575342465753,0.0,0.0888079173880048,0.0
4,24,COG4851,sex pheromone,6.396282034980712,0.5397260273972587,0.0017254128666502337,0.24267844546058384,0.0018929728785117752
4,25,COG4493,Belongs to the UPF0637 family,6.204393759225586,0.3397260273972595,0.0007394626571358146,0.12371153082684866,0.000691211736166334
