Cluster,Rank,COG,Description,log2_fold_enrichment,Prevalence_in_cluster,Prevalence_in_other_clusters,Mean_per_1000_genes_in_cluster,Mean_per_1000_genes_in_other_clusters
4,12,COG1646,"35 carbon atoms) to the C3 hydroxyl of sn-glycerol-1-phosphate (G1P), producing heptaprenylglyceryl phosphate (HepGP). This reaction is an ether-bond-formation step in the biosynthesis of archaea-type G1P-based membrane lipids found in Bacillales",6.124388948858091,0.15873015873015872,0.0,0.06876294065196192,0.0
4,13,COG5294,Protein of unknown function (DUF1093),5.954299268379927,0.3968253968253968,0.007961783439490446,0.2931618561562292,0.0037442074843853897
4,14,COG4840,Belongs to the UPF0435 family,5.892274361492325,0.14285714285714285,0.0,0.058395196776706626,0.0
4,15,COG4362,Belongs to the NOS family. Bacterial NOS oxygenase subfamily,5.885208128803684,0.12698412698412698,0.0,0.058104993988218244,0.0
4,16,COG4918,Belongs to the HesB IscA family,5.881709369266067,0.2857142857142857,0.0031847133757961785,0.18517858043887664,0.0021576120350342456
4,17,COG1547,Domain of unknown function (DUF309),5.841365586756952,0.12698412698412698,0.0,0.05633585026085887,0.0
4,18,COG4851,sex pheromone,5.635074369953386,0.8888888888888875,0.01751592356687898,0.6000960398653186,0.011095322530010823
4,19,COG4844,Belongs to the UPF0741 family,5.393597257151362,0.1746031746031746,0.0031847133757961785,0.1336973910607167,0.002204236956208289
4,20,COG4876,Uncharacterized protein conserved in bacteria (DUF2188),5.297982585944932,0.20634920634920634,0.0031847133757961785,0.08627907782823438,0.0012184951012418161
4,21,COG4493,Belongs to the UPF0637 family,5.085137936690204,0.25396825396825395,0.0031847133757961785,0.10541607214374787,0.0021349323531434385
4,22,COG2322,Protein of unknown function (DUF420),4.952576511540784,0.1746031746031746,0.006369426751592357,0.07736154079985784,0.0015306313333738404
4,23,COG2427,Protein of unknown function (DUF1641),4.941636688498239,0.14285714285714285,0.004777070063694268,0.07048230769905274,0.0013260427574631065
4,24,COG4334,Uncharacterized protein conserved in bacteria (DUF2255),4.932415404080277,0.12698412698412698,0.006369426751592357,0.08290208126814427,0.0017476900833355534
4,25,COG4633,Cupredoxin-like domain,4.791882054693255,0.587301587301587,0.03343949044585987,0.5965114086873787,0.02056979252937771
4,26,COG4841,Belongs to the HesB IscA family,4.731935299609185,0.47619047619047616,0.014331210191082801,0.29836408988609475,0.010265364306207225
4,27,COG5386,NEAr Transporter domain,4.657555422168357,0.19047619047619047,0.012738853503184712,0.20188787974592703,0.0070388183480878525
4,28,COG4955,Helix-turn-helix domain,4.550312399800722,0.4603174603174603,0.011146496815286623,0.21107327806653123,0.008051184703575597
4,29,COG4689,Acetoacetate decarboxylase (ADC),4.497922066024639,0.14285714285714285,0.007961783439490446,0.07797625741617273,0.0024953211847458497
4,30,COG2918,Belongs to the glutamate--cysteine ligase type 1 family,4.411822202138098,0.23809523809523808,0.044585987261146494,0.2887101803901887,0.01261046421912194
4,31,COG4975,COG NOG04879 non supervised orthologous group,4.398401398724136,0.7460317460317452,0.04936305732484076,0.588325273888263,0.02694501279011606
4,32,COG5584,Small secreted protein,4.340636963880536,0.4444444444444444,0.014331210191082801,0.20931118553102968,0.009380073891936739
4,33,COG2746,Aminoglycoside 3-N-acetyltransferase,4.261881027187969,0.25396825396825395,0.01751592356687898,0.1928957552140023,0.009106814026994921
4,34,COG4997,phosphoribosyl-ATP pyrophosphohydrolase,4.1497033104542815,0.19047619047619047,0.007961783439490446,0.13352197249889564,0.0065789328152814665
4,35,COG2111,antiporter activity,4.124297392813209,0.15873015873015872,0.014331210191082801,0.1208479372084053,0.005986842527345318
4,36,COG4483,Bacterial protein of unknown function (DUF910),4.101099215025314,0.8730158730158717,0.05095541401273885,0.5301969095697053,0.029952922532770924
4,37,COG4112,DNA mismatch repair protein MutT,4.066919081627238,0.14285714285714285,0.004777070063694268,0.06670359413611417,0.0030396811786102245
