OG,Description,Prevalence_Gut,Prevalence_Vaginal,Mean_per_1000_genes_Gut,Mean_per_1000_genes_Vaginal,log2FC_Vaginal_vs_Gut,Rank_biserial_Vaginal_vs_Gut,P_value,Q_value_BH,Significant_q<0.05,Higher_in
2CGDX,,0.11319561551433345,0.001272264631043257,0.07159567059287458,0.0007757711164897909,-5.353365966133783,-0.11191155078974813,1.2675578495293552e-22,1.4072135594996248e-21,True,Gut
COG1169,Isochorismate synthase,0.18022765598650767,0.3167938931297711,0.0903868475023522,0.19589951089260163,1.107401076476658,0.15191762247424356,1.2804852576533322e-22,1.4194716545444227e-21,True,Vaginal
COG2738,zinc metallopeptidase,0.5505902192243014,0.2989821882951657,0.32282564196395047,0.2148142894211277,-0.5854268380015467,-0.20463480855957328,1.397983082526718e-22,1.5474439209086186e-21,True,Gut
COG0816,Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA,0.8029089376053767,0.871501272264624,0.49372507975735946,0.6524676543796603,0.40148878884274625,0.21663818553179803,1.4439313302875202e-22,1.5959575804807877e-21,True,Vaginal
2B1DC,,0.11509274873524404,0.002544529262086514,0.073551092643467,0.001501949558866079,-4.89710488811873,-0.11263055194401173,1.5186119135967767e-22,1.676039864170519e-21,True,Gut
2BN83,,0.1127740303541311,0.001272264631043257,0.07219347136963708,0.0007757711164897909,-5.365197424061749,-0.11149157473321059,1.550232056632576e-22,1.7084328975510104e-21,True,Gut
COG5329,Domain of unknown function (DUF4032),0.00779932546374367,0.05216284987277351,0.005128304922760892,0.034499342843705434,2.5342323304403402,0.044351724315487395,1.590161935903835e-22,1.7498755689397904e-21,True,Vaginal
COG2770,Histidine kinase,0.23271500843170068,0.07633587786259535,0.13847963641949337,0.05360964535578054,-1.3528268157189203,-0.15463352127664143,1.7024773703180566e-22,1.8707368126108046e-21,True,Gut
29J48,,0.13258853288364172,0.011450381679389315,0.08560275937732705,0.00960256790999377,-3.0299992700035308,-0.12032689477320224,1.7554374351921265e-22,1.9261191799841305e-21,True,Gut
2EG1V,COG NOG17973 non supervised orthologous group,0.22744519392917126,0.07124681933842233,0.10370855642489663,0.03669784007130564,-1.4738255686095851,-0.15296327167248092,1.8824732270523935e-22,2.0625001426526003e-21,True,Gut
